AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_00167,Barnes,Djuna,,,,,,,,C,1892,1982,American,F,Caucasian,,,Lesbian,,,,Modernism,,,"Storm King Mountain, NY; New York, NY; Paris, France"
A_00169,Barnes,Linda,,,,,,,,,1949,,American,F,,,,,Boston U,,Teacher,,,,"Detroit, MI; Boston, MA"
A_00170,Barnes,Margaret Campbell,,,,,,,,,1891,1962,British,F,Caucasian,,,,,,,,,,"Rotherfield, Sussex, UK; London, UK"
A_00171,Barnhardt,Wilton,,,,,,,,,1960,,American,M,Caucasian,,,,"MI State U, Oxford",,Journalist,,,,"Winston-Salem, NC; Raleigh, NC"
A_00173,Barolini,Helen,,,,,,,,,1925,,American,F,Caucasian,,,,"Wells Coll, Columbia",,,,,,"Syracuse, NY; New York, NY"
A_00174,Baron,Alexander,,,,,,,,,1917,1999,British,M,,Anglo-Polish,,,,,,,Jewish,,"London, UK"
A_00177,Barrie,J. M.,James Matthew,,,,,,,,1860,1937,Scottish,M,Caucasian,,,,U of Edinburgh,,,Kailyard,,,"Kirriemuir, Angus, Scotland; Edinburgh, Scotland"
A_00178,Barringer,Leslie,,,,,,,,,1895,1968,British,M,,,,,,,Editor,,,,"Yorkshire, UK"
A_00183,Barthelme,Donald,,,,,,,,C,1931,1989,American,M,Caucasian,,,,U of Houston,,,,,,"Philadelphia, PA; Houston, TX"
A_00185,Bartlett,Frederick Orin,,Carleton,William,,,,,,1876,1945,American,,,,,,,,,,,,"Haverhill, MA"
A_00186,Bartlett,Paul Alexander,,,,,,,,,1909,,American,M,,,,,"Oberlin Coll, U of AZ, National U of Mexico",,,,,,"Moberly, MO; Sault Ste. Marie, MI"
A_00192,Bates,Arlo,,,,,,,,,1850,1918,American,M,,,,,Bowdoin Coll,,Editor,,,,"East Machias, ME; Boston, MA"
A_00193,Bates,H. E.,Herbert Ernest,,,,,,,,1905,1974,British,M,Caucasian,,,,,,,,,,"Rushden, Northamptonshire, UK"
A_00197,Battle,Lois,,,,,,,,,1930,2014,American,F,,,,,,,,,,,"New York, NY; Beaufort, SC"
A_00199,Bauer,Douglas,,,,,,,,,,,American,M,Caucasian,,,,,,,,,,"Boston, MA"
A_00200,Baum,L. Frank,,,,,,,,,1856,1919,American,M,Caucasian,,,,,,,,Episcopal,Wealthy,"Chittenango, NY; Mattydale, NY; Aberdeen, SD; Chicago, IL"
